occupation,mdn_weekly_earnings_total,mdn_weekly_earnings_men,mdn_weekly_earning_women
"Conveyor, dredge, and hoist and winch operators",–,–,–
Industrial truck and tractor operators,850,863,799
Cleaners of vehicles and equipment,756,760,–
"Laborers and freight, stock, and material movers, hand",792,821,706
Machine feeders and offbearers,–,–,–
"Packers and packagers, hand",705,721,687
Stockers and order fillers,718,726,704
Pumping station operators,–,–,–
Refuse and recyclable material collectors,830,866,–
Other material moving workers,–,–,–
,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,
